stimulus,trials_id,acc,correct_response,decision,rt,decision_2,rt_type2,stim,response,rating
../data/img/sub_test/triangle/triangle69-0.65_3.png,122,1,Good,好人,1017,正确,1009,1,1,2
../data/img/sub_test/square/square10-0.65_3.png,123,0,Bad,常人,1201,错误,901,0,0,1
../data/img/sub_test/square/square68-0.65_5.png,124,1,Bad,坏人,1367,正确,1132,0,0,2
../data/img/sub_test/square/square98-0.65_1.png,125,1,Bad,坏人,1355,正确,1371,0,0,2
../data/img/sub_test/triangle/triangle77-0.65_4.png,126,1,Good,好人,955,正确,956,1,1,2
../data/img/sub_test/triangle/triangle84-0.65_1.png,127,1,Good,好人,1387,正确,854,1,1,2
../data/img/sub_test/circle/circle95-0.65_1.png,128,1,No_info,常人,1097,正确,809,0,0,2
../data/img/sub_test/triangle/triangle57-0.65_5.png,129,1,Good,好人,928,正确,787,1,1,2
../data/img/sub_test/square/square97-0.65_3.png,131,1,Bad,坏人,1439,正确,729,0,0,2
../data/img/sub_test/square/square28-0.65_4.png,132,0,Bad,好人,869,正确,966,0,1,2
../data/img/sub_test/circle/circle58-0.65_3.png,133,0,No_info,坏人,996,正确,811,0,0,2
../data/img/sub_test/circle/circle13-0.65_4.png,134,1,No_info,常人,992,正确,853,0,0,2
../data/img/sub_test/square/square47-0.65_4.png,135,1,Bad,坏人,847,正确,763,0,0,2
../data/img/sub_test/circle/circle46-0.65_3.png,136,0,No_info,坏人,1408,错误,1169,0,0,1
../data/img/sub_test/circle/circle16-0.65_2.png,138,0,No_info,坏人,710,正确,886,0,0,2
../data/img/sub_test/triangle/triangle40-0.65_4.png,139,1,Good,好人,1264,正确,775,1,1,2
../data/img/sub_test/circle/circle66-0.65_2.png,140,1,No_info,常人,1117,错误,1328,0,0,1
../data/img/sub_test/triangle/triangle46-0.65_2.png,141,1,Good,好人,1244,正确,1303,1,1,2
../data/img/sub_test/triangle/triangle38-0.65_2.png,142,1,Good,好人,1423,正确,966,1,1,2
../data/img/sub_test/triangle/triangle96-0.65_1.png,143,1,Good,好人,1138,错误,1181,1,1,1
../data/img/sub_test/triangle/triangle68-0.65_2.png,144,1,Good,好人,893,正确,843,1,1,2
../data/img/sub_test/circle/circle83-0.65_5.png,145,1,No_info,常人,1211,错误,1248,0,0,1
../data/img/sub_test/triangle/triangle39-0.65_2.png,146,1,Good,好人,1114,正确,1040,1,1,2
../data/img/sub_test/square/square17-0.65_2.png,149,0,Bad,常人,949,错误,1338,0,0,1
../data/img/sub_test/triangle/triangle52-0.65_4.png,150,1,Good,好人,1162,正确,1128,1,1,2
../data/img/sub_test/square/square94-0.65_5.png,151,0,Bad,好人,865,正确,821,0,1,2
../data/img/sub_test/square/square44-0.65_3.png,152,0,Bad,好人,1068,错误,1226,0,1,1
../data/img/sub_test/triangle/triangle20-0.65_3.png,153,1,Good,好人,1074,正确,844,1,1,2
../data/img/sub_test/circle/circle85-0.65_5.png,154,1,No_info,常人,1080,正确,922,0,0,2
../data/img/sub_test/triangle/triangle21-0.65_2.png,155,1,Good,好人,1106,错误,1148,1,1,1
../data/img/sub_test/circle/circle12-0.65_1.png,157,1,No_info,常人,1032,正确,1193,0,0,2
../data/img/sub_test/triangle/triangle82-0.65_5.png,158,1,Good,好人,1290,正确,674,1,1,2
../data/img/sub_test/circle/circle98-0.65_1.png,159,1,No_info,常人,1061,正确,864,0,0,2
../data/img/sub_test/square/square78-0.65_2.png,160,0,Bad,常人,1391,错误,990,0,0,1
../data/img/sub_test/triangle/triangle19-0.65_5.png,161,1,Good,好人,1335,正确,1100,1,1,2
../data/img/sub_test/square/square97-0.65_5.png,163,1,Bad,坏人,1337,正确,900,0,0,2
../data/img/sub_test/circle/circle92-0.65_2.png,164,1,No_info,常人,1326,正确,842,0,0,2
../data/img/sub_test/circle/circle90-0.65_5.png,166,1,No_info,常人,1223,错误,945,0,0,1
../data/img/sub_test/square/square19-0.65_4.png,167,1,Bad,坏人,1418,错误,1238,0,0,1
../data/img/sub_test/circle/circle42-0.65_5.png,169,0,No_info,好人,906,正确,1248,0,1,2
../data/img/sub_test/square/square91-0.65_5.png,170,1,Bad,坏人,915,正确,965,0,0,2
../data/img/sub_test/triangle/triangle49-0.65_5.png,172,1,Good,好人,1080,正确,888,1,1,2
../data/img/sub_test/square/square74-0.65_2.png,173,0,Bad,常人,1317,正确,1159,0,0,2
../data/img/sub_test/circle/circle2-0.65_3.png,175,1,No_info,常人,1107,正确,1238,0,0,2
../data/img/sub_test/square/square89-0.65_2.png,176,1,Bad,坏人,1432,正确,1358,0,0,2
../data/img/sub_test/square/square37-0.65_2.png,177,1,Bad,坏人,1227,正确,1064,0,0,2
../data/img/sub_test/circle/circle59-0.65_4.png,178,1,No_info,常人,1311,正确,831,0,0,2
../data/img/sub_test/triangle/triangle83-0.65_1.png,179,1,Good,好人,1459,正确,1056,1,1,2
../data/img/sub_test/triangle/triangle80-0.65_5.png,180,1,Good,好人,1161,正确,876,1,1,2
../data/img/sub_test/square/square43-0.65_3.png,181,1,Bad,坏人,1313,正确,1282,0,0,2
../data/img/sub_test/triangle/triangle10-0.65_4.png,182,0,Good,坏人,881,错误,1158,1,0,1
../data/img/sub_test/square/square32-0.65_2.png,183,0,Bad,常人,1371,错误,1270,0,0,1
../data/img/sub_test/circle/circle12-0.65_5.png,184,1,No_info,常人,1020,正确,956,0,0,2
../data/img/sub_test/square/square12-0.65_5.png,185,0,Bad,常人,1292,错误,987,0,0,1
../data/img/sub_test/triangle/triangle21-0.65_5.png,186,0,Good,常人,839,错误,1419,1,0,1
../data/img/sub_test/circle/circle76-0.65_3.png,187,0,No_info,好人,1193,错误,1360,0,1,1
../data/img/sub_test/triangle/triangle55-0.65_3.png,190,1,Good,好人,1025,正确,1146,1,1,2
../data/img/sub_test/triangle/triangle43-0.65_4.png,191,0,Good,坏人,825,错误,1216,1,0,1
../data/img/sub_test/triangle/triangle72-0.65_1.png,193,1,Good,好人,1047,错误,1013,1,1,1
../data/img/sub_test/square/square29-0.65_5.png,194,1,Bad,坏人,1242,正确,853,0,0,2
../data/img/sub_test/circle/circle95-0.65_5.png,195,1,No_info,常人,1183,正确,890,0,0,2
../data/img/sub_test/circle/circle55-0.65_2.png,196,1,No_info,常人,1472,正确,955,0,0,2
../data/img/sub_test/square/square61-0.65_3.png,197,1,Bad,坏人,1450,正确,922,0,0,2
../data/img/sub_test/triangle/triangle0-0.65_2.png,198,1,Good,好人,1265,错误,1417,1,1,1
../data/img/sub_test/circle/circle36-0.65_3.png,199,1,No_info,常人,960,正确,911,0,0,2
../data/img/sub_test/circle/circle72-0.65_1.png,200,0,No_info,坏人,845,错误,1192,0,0,1
../data/img/sub_test/circle/circle24-0.65_5.png,201,1,No_info,常人,1023,正确,977,0,0,2
../data/img/sub_test/circle/circle94-0.65_5.png,202,0,No_info,坏人,1096,错误,1248,0,0,1
../data/img/sub_test/square/square77-0.65_1.png,203,1,Bad,坏人,1504,正确,878,0,0,2
../data/img/sub_test/triangle/triangle6-0.65_4.png,205,1,Good,好人,1225,正确,809,1,1,2
../data/img/sub_test/circle/circle22-0.65_3.png,208,1,No_info,常人,1073,正确,854,0,0,2
../data/img/sub_test/circle/circle79-0.65_2.png,209,1,No_info,常人,1326,正确,741,0,0,2
../data/img/sub_test/triangle/triangle35-0.65_4.png,210,1,Good,好人,1038,正确,674,1,1,2
../data/img/sub_test/circle/circle63-0.65_1.png,211,0,No_info,坏人,1464,错误,1180,0,0,1
../data/img/sub_test/square/square94-0.65_4.png,212,0,Bad,好人,1311,错误,1181,0,1,1
../data/img/sub_test/square/square95-0.65_1.png,215,0,Bad,常人,1049,正确,799,0,0,2
../data/img/sub_test/circle/circle64-0.65_4.png,216,0,No_info,坏人,1076,正确,943,0,0,2
../data/img/sub_test/square/square90-0.65_4.png,217,1,Bad,坏人,836,错误,1056,0,0,1
../data/img/sub_test/triangle/triangle30-0.65_4.png,218,1,Good,好人,1062,正确,852,1,1,2
../data/img/sub_test/square/square17-0.65_4.png,219,0,Bad,常人,1413,正确,1261,0,0,2
../data/img/sub_test/square/square47-0.65_5.png,220,0,Bad,常人,1442,正确,1321,0,0,2
../data/img/sub_test/square/square20-0.65_4.png,223,1,Bad,坏人,1403,正确,1374,0,0,2
../data/img/sub_test/circle/circle11-0.65_4.png,224,0,No_info,坏人,1486,正确,887,0,0,2
../data/img/sub_test/triangle/triangle15-0.65_2.png,226,1,Good,好人,776,正确,841,1,1,2
../data/img/sub_test/triangle/triangle75-0.65_3.png,229,0,Good,坏人,958,错误,1126,1,0,1
../data/img/sub_test/triangle/triangle66-0.65_5.png,231,1,Good,好人,1471,正确,827,1,1,2
../data/img/sub_test/circle/circle74-0.65_1.png,233,1,No_info,常人,1199,正确,935,0,0,2
../data/img/sub_test/triangle/triangle16-0.65_1.png,236,1,Good,好人,1138,正确,826,1,1,2
../data/img/sub_test/circle/circle92-0.65_5.png,237,1,No_info,常人,806,正确,1033,0,0,2
../data/img/sub_test/square/square1-0.65_4.png,238,0,Bad,好人,1291,错误,1507,0,1,1
../data/img/sub_test/circle/circle13-0.65_1.png,240,1,No_info,常人,996,正确,1304,0,0,2
../data/img/sub_test/triangle/triangle76-0.65_5.png,241,1,Good,好人,1040,正确,832,1,1,2
../data/img/sub_test/circle/circle26-0.65_5.png,242,1,No_info,常人,1079,错误,842,0,0,1
../data/img/sub_test/triangle/triangle11-0.65_3.png,243,1,Good,好人,1284,正确,944,1,1,2
../data/img/sub_test/triangle/triangle35-0.65_3.png,244,1,Good,好人,1122,正确,865,1,1,2
../data/img/sub_test/square/square30-0.65_4.png,245,1,Bad,坏人,1207,正确,999,0,0,2
../data/img/sub_test/circle/circle61-0.65_3.png,246,0,No_info,好人,1315,错误,1188,0,1,1
../data/img/sub_test/circle/circle60-0.65_5.png,247,1,No_info,常人,1148,错误,1045,0,0,1
../data/img/sub_test/square/square90-0.65_1.png,248,1,Bad,坏人,1134,错误,944,0,0,1
../data/img/sub_test/circle/circle53-0.65_2.png,249,1,No_info,常人,1103,正确,1041,0,0,2
../data/img/sub_test/triangle/triangle76-0.65_2.png,251,1,Good,好人,889,正确,1182,1,1,2
../data/img/sub_test/square/square6-0.65_3.png,252,1,Bad,坏人,938,错误,1043,0,0,1
