"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","exp_type","correct_response","acc","decision","record_acc","decision_2"
"","","","","","html-keyboard-response","732","1071476","0.0-0.0-9.0-0.24","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","733","1071687","0.0-0.0-9.0-1.24","null","../data/img/test/square/square27_3.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","734","1073255","0.0-0.0-9.0-2.24","1567","<p> </p>","l","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","735","1074568","0.0-0.0-9.0-3.24","1313","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","736","1075079","0.0-0.0-9.0-0.25","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","737","1075285","0.0-0.0-9.0-1.25","null","../data/img/test/square/square86_4.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","738","1077292","0.0-0.0-9.0-2.25","null","<p> </p>","null","","Bad","0","","yes",""
"","","","","","html-keyboard-response","739","1079031","0.0-0.0-9.0-3.25","1738","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","740","1079539","0.0-0.0-9.0-0.26","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","741","1079751","0.0-0.0-9.0-1.26","null","../data/img/test/triangle/triangle14_4.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","742","1081215","0.0-0.0-9.0-2.26","1464","<p> </p>","j","","Good","1","好人","yes",""
"","","","","","html-keyboard-response","743","1082999","0.0-0.0-9.0-3.26","1783","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","744","1083506","0.0-0.0-9.0-0.27","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","745","1083719","0.0-0.0-9.0-1.27","null","../data/img/test/square/square57_1.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","746","1085171","0.0-0.0-9.0-2.27","1452","<p> </p>","j","","Bad","1","坏人","yes",""
"","","","","","html-keyboard-response","747","1086522","0.0-0.0-9.0-3.27","1350","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","正确"
"","","","","","html-keyboard-response","748","1087027","0.0-0.0-9.0-0.28","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","749","1087239","0.0-0.0-9.0-1.28","null","../data/img/test/circle/circle46_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","750","1088609","0.0-0.0-9.0-2.28","1369","<p> </p>","l","","No_info","0","好人","yes",""
"","","","","","html-keyboard-response","751","1089633","0.0-0.0-9.0-3.28","1024","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","752","1090138","0.0-0.0-9.0-0.29","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","753","1090351","0.0-0.0-9.0-1.29","null","../data/img/test/circle/circle24_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","754","1092095","0.0-0.0-9.0-2.29","1742","<p> </p>","j","","No_info","0","好人","yes",""
"","","","","","html-keyboard-response","755","1092970","0.0-0.0-9.0-3.29","875","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","756","1093479","0.0-0.0-9.0-0.30","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","757","1093683","0.0-0.0-9.0-1.30","null","../data/img/test/square/square53_5.png","null","","Bad","0","Noinclude","",""
"","","","","","html-keyboard-response","758","1094912","0.0-0.0-9.0-2.30","1228","<p> </p>","j","","Bad","0","无信息","yes",""
"","","","","","html-keyboard-response","759","1095870","0.0-0.0-9.0-3.30","957","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","错误"
"","","","","","html-keyboard-response","760","1096380","0.0-0.0-9.0-0.31","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","761","1096589","0.0-0.0-9.0-1.31","null","../data/img/test/circle/circle58_2.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","762","1097349","0.0-0.0-9.0-2.31","759","<p> </p>","k","","No_info","1","无信息","yes",""
"","","","","","html-keyboard-response","763","1099033","0.0-0.0-9.0-3.31","1683","<p style =' color : white'>你认为刚才你的判断是?</p>","d","","","","","no","错误"
"","","","","","html-keyboard-response","764","1099539","0.0-0.0-9.0-0.32","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","765","1099751","0.0-0.0-9.0-1.32","null","../data/img/test/circle/circle97_4.png","null","","No_info","0","Noinclude","",""
"","","","","","html-keyboard-response","766","1101481","0.0-0.0-9.0-2.32","1729","<p> </p>","j","","No_info","0","坏人","yes",""
"","","","","","html-keyboard-response","767","1102682","0.0-0.0-9.0-3.32","1200","<p style =' color : white'>你认为刚才你的判断是?</p>","a","","","","","no","正确"
"","","","","","html-keyboard-response","768","1103188","0.0-0.0-9.0-0.33","null","<div style=""font-size:60px; color: white"">+</div>","null","","","","","",""
"","","","","","image-keyboard-response","769","1103395","0.0-0.0-9.0-1.33","null","../data/img/test/triangle/triangle56_3.png","null","","Good","0","Noinclude","",""
"","","","","","html-keyboard-response","770","1105236","0.0-0.0-9.0-2.33","1839","<p> </p>","k","","Good","1","好人","yes",""
